shop_id,shop_name,address,city,state,visit_date,units,feedback,decision_maker,restock_status,test_case_placed,next_plan
a2a81b87-a79b-4cc2-a0b7-fe324aa4d66b,Jungle Smoke Shop,6160 Ulmerton Rd #3,Dunedin,FL,null,null,null,null,null,null,null
dffb02b2-7f28-4fe4-9234-934f309451d4,K O Smoke Shop,24115 US Hwy 19 N,Clearwater,FL,null,null,null,null,null,null,null
1771851a-c143-487d-9797-82387a391cb8,Kwik Stop,7330 Central Ave,St Petersburg,FL,null,null,null,null,null,null,null
b0e52dbe-54b8-4b6d-a151-d7073c9c8f9f,Local Store Smoke Shop and Convenience Store,5825 66th St N,St Petersburg,FL,2026-08-20,0,日销60+，放了test station,,,false,
2b296742-38b2-4206-b2c8-4fc66dc9bd87,Lux Smoke 5,5725 Central Ave,St Petersburg,FL,null,null,null,null,null,null,null
3074256c-2946-4e06-80da-cf96212b3ceb,Macs Smoke Shop,1220 Clearwater Largo Rd,Largo,FL,2026-08-20,0,店员Dang，热卖raz/ras mary，约10支/天,,,false,
456c937d-5e13-4cf5-aa58-37ee2530ad95,Marleys House Smoke Shop,2794 Gulf To Bay Blvd #1,Clearwater,FL,null,null,null,null,null,null,null
def5af1f-90e6-429f-90a0-f80b13aa2ec8,Master Novelty Smoke Shop,8248 Ulmerton Rd,Largo,FL,null,null,null,null,null,null,null
0feb3dde-a0f5-49eb-be85-7c01673188f2,Mirage Emporium Smoke Shop,760 Indian Rocks Rd N,Belleair Bluffs,FL,null,null,null,null,null,null,null
2d8ce5eb-1ea4-4112-9c13-f2a573d7cc79,Mirage Emporium Smoke Shop #2,1705 Clearwater Largo Rd,Largo,FL,null,null,null,null,null,null,null
c597ba14-b89f-4a5c-a525-8ff10c093151,Mis Electronics Smoke Shop,,St Petersburg,FL,2026-08-20,0,West Lealman片区，老板MJ愿意试放样品,,,false,
d07b3cd9-3978-4933-99dd-b8a1fb0ffbe6,Mpire Express Smoke Shop,3001 34th St N suit c,Clearwater,FL,null,null,null,null,null,null,null
